employee_id,date,status,trip_no,leave_type
EMP-0001,2026-08-03,P,,
EMP-0001,2026-08-04,T,TRP-2256,
EMP-0001,2026-08-05,P,,
EMP-0001,2026-08-06,P,,
EMP-0001,2026-08-07,P,,
EMP-0001,2026-08-08,P,,
EMP-0001,2026-08-09,off,,
EMP-0001,2026-08-10,P,,
EMP-0001,2026-08-11,T,TRP-2132,
EMP-0001,2026-08-12,T,TRP-2184,
EMP-0001,2026-08-13,P,,
EMP-0001,2026-08-14,P,,
EMP-0001,2026-08-15,P,,
EMP-0001,2026-08-16,off,,
EMP-0001,2026-08-17,T,TRP-2189,
EMP-0001,2026-08-18,T,TRP-2172,
EMP-0001,2026-08-19,P,,
EMP-0001,2026-08-20,P,,
EMP-0001,2026-08-21,P,,
EMP-0001,2026-08-22,P,,
EMP-0001,2026-08-23,off,,
EMP-0001,2026-08-24,P,,
EMP-0001,2026-08-25,A,,
EMP-0001,2026-08-26,P,,
EMP-0001,2026-08-27,P,,
EMP-0001,2026-08-28,P,,
EMP-0001,2026-08-29,P,,
EMP-0001,2026-08-30,off,,
EMP-0001,2026-08-31,P,,
EMP-0001,2026-09-01,P,,
EMP-0002,2026-08-03,A,,
EMP-0002,2026-08-04,T,TRP-2322,
EMP-0002,2026-08-05,P,,
EMP-0002,2026-08-06,P,,
EMP-0002,2026-08-07,P,,
EMP-0002,2026-08-08,P,,
EMP-0002,2026-08-09,off,,
EMP-0002,2026-08-10,T,TRP-2269,
EMP-0002,2026-08-11,T,TRP-2205,
EMP-0002,2026-08-12,T,TRP-2192,
EMP-0002,2026-08-13,P,,
EMP-0002,2026-08-14,T,TRP-2225,
EMP-0002,2026-08-15,L,,SL
EMP-0002,2026-08-16,off,,
EMP-0002,2026-08-17,T,TRP-2383,
EMP-0002,2026-08-18,L,,CL
EMP-0002,2026-08-19,P,,
EMP-0002,2026-08-20,P,,
EMP-0002,2026-08-21,P,,
EMP-0002,2026-08-22,T,TRP-2175,
EMP-0002,2026-08-23,off,,
EMP-0002,2026-08-24,P,,
EMP-0002,2026-08-25,P,,
EMP-0002,2026-08-26,P,,
EMP-0002,2026-08-27,L,,CL
EMP-0002,2026-08-28,P,,
EMP-0002,2026-08-29,P,,
