booking_no,booking_date,branch_id,client_id,pickup_address,delivery_address,origin_city,dest_city,material,weight_t,quantity,packages,insurance,declared_value,freight,gst_mode,gst_pct,gst_amount,insurance_amt,total,remarks,booking_user_id,priority,status
BKG-4201,2026-08-16,BR-018,CUST-0090,"Gate 5, Morbi","Warehouse, Nagpur",Morbi,Nagpur,Textile bales,2.6,47,78 bales,Insured,165000,5500,RCM,5,275,70,5845,,USR-0132,Normal,Closed
BKG-4202,2026-07-20,BR-017,CUST-0122,"Gate 3, Gurugram","Depot, Raipur",Gurugram,Raipur,Packaged goods,10,300,300 pkgs,Not insured,0,14400,RCM,5,720,0,15120,Handle with care · fragile packaging,USR-0066,Normal,Closed
BKG-4203,2026-08-01,BR-006,CUST-0041,"Gate 2, Raipur","Warehouse, Pune",Raipur,Pune,Textile bales,10.9,196,196 bales,Not insured,0,14900,RCM,5,745,0,15645,Deliver before 18:00,USR-0073,Normal,Closed
BKG-4204,2026-08-21,BR-011,CUST-0070,"Gate 1, Bhopal","Depot, Nashik",Bhopal,Nashik,Copper wire coils,7.6,152,152 coils,Insured,267000,8900,FCM,12,1068,110,10078,,USR-0083,Normal,Delivered
BKG-4205,2026-08-16,BR-014,CUST-0002,"Gate 5, Hyderabad","Depot, Bhopal",Hyderabad,Bhopal,Steel coils,19.5,351,468 coils,Not insured,0,21300,RCM,5,1065,0,22365,Handle with care · fragile packaging,USR-0136,Normal,Closed
BKG-4206,2026-07-15,BR-018,CUST-0090,"Gate 5, Morbi","Warehouse, Nashik",Morbi,Nashik,Steel coils,13.8,414,414 coils,Insured,396000,13200,RCM,5,660,160,14020,,USR-0101,Normal,Closed
BKG-4207,2026-07-23,BR-010,CUST-0055,"Gate 3, Nashik","Warehouse, Mumbai",Nashik,Mumbai,Agro produce,11.7,211,234 bags,Insured,258000,8600,RCM,5,430,110,9140,Deliver before 18:00,USR-0079,Normal,Closed
BKG-4208,2026-08-31,BR-007,CUST-0199,"Gate 2, Jaipur","Godown, Indore",Jaipur,Indore,FMCG cartons,6.3,189,113 pkgs,Not insured,0,7500,RCM,5,375,0,7875,Tarpaulin required,USR-0067,Normal,Vehicle Allocated
BKG-4209,2026-08-31,BR-017,CUST-0029,"Gate 2, Gurugram","Depot, Jaipur",Gurugram,Jaipur,Polymer granules,10,180,180 bags,Insured,249000,8300,RCM,5,415,100,8815,Tarpaulin required,USR-0051,Priority,Vehicle Allocated
BKG-4210,2026-08-08,BR-013,CUST-0166,"Gate 3, Ahmedabad","Godown, Bengaluru",Ahmedabad,Bengaluru,Copper wire coils,5,150,150 coils,Not insured,0,9800,RCM,5,490,0,10290,Handle with care · fragile packaging,USR-0097,Priority,Delivered
