complaint_id,client_id,lr_no,cn_no,branch_id,category,priority,subject,raised_dt,target_dt,resolved_dt,assigned_to,progress_pct,resolution,status
CMP-3281,CUST-0140,LR-8537,CN-90537,BR-001,Billing Issue,Medium,Short quantity received,2026-08-21,2026-08-23,2026-08-22,USR-0140,100,Customer notified · closed,Resolved
CMP-3282,CUST-0091,LR-8556,CN-90556,BR-001,Damaged Goods,High,Shipment delayed beyond committed ETA,2026-08-23,2026-08-25,,USR-0072,15,,Assigned
CMP-3283,CUST-0192,LR-8574,CN-90574,BR-007,Delay,Medium,Repeated pickup delay,2026-08-08,2026-08-10,,USR-0023,46,,In Progress
CMP-3284,CUST-0070,LR-8504,CN-90504,BR-011,Wrong Delivery,Medium,Bags found torn on arrival,2026-08-11,2026-08-13,,,0,,New
CMP-3285,CUST-0123,LR-8515,CN-90515,BR-018,Wrong Delivery,High,Shipment delayed beyond committed ETA,2026-08-28,2026-08-30,,,0,,New
CMP-3286,CUST-0201,LR-8645,CN-90645,BR-014,Damaged Goods,Medium,Short quantity received,2026-08-19,2026-08-21,,,0,,New
CMP-3287,CUST-0057,LR-8560,CN-90560,BR-006,Billing Issue,High,Bags found torn on arrival,2026-08-28,2026-08-30,2026-08-30,USR-0031,100,Customer notified · closed,Resolved
CMP-3288,CUST-0040,LR-8548,CN-90548,BR-013,Delay,Medium,Bags found torn on arrival,2026-08-07,2026-08-09,2026-08-09,USR-0050,100,Customer notified · closed,Resolved
CMP-3289,CUST-0115,LR-8572,CN-90572,BR-010,POD Issue,Low,POD copy not received by consignee,2026-08-27,2026-08-29,,USR-0143,38,,In Progress
CMP-3290,CUST-0065,LR-8595,CN-90595,BR-009,Wrong Delivery,Medium,E-way bill mismatch flagged at checkpost,2026-08-14,2026-08-16,,USR-0089,15,,Assigned
CMP-3291,CUST-0040,LR-8679,CN-90679,BR-013,Billing Issue,High,POD copy not received by consignee,2026-08-09,2026-08-11,2026-08-12,USR-0067,100,Customer notified · closed,Resolved
CMP-3292,CUST-0116,LR-8781,CN-90781,BR-010,Billing Issue,Medium,Short quantity received,2026-08-29,2026-08-31,2026-09-01,USR-0029,100,Customer notified · closed,Resolved
