cn_no,seq,event,detail,event_dt
CN-00001,1,Booking Created,,2026-08-26 10:00:00
CN-00001,2,Vehicle Allocated,,2026-08-26 21:08:00
CN-00001,3,Picked Up,,2026-08-27 08:17:00
CN-00001,4,In Transit,,2026-08-27 19:25:00
CN-00001,5,At Hub,,2026-08-28 06:34:00
CN-00001,6,Out For Delivery,,2026-08-28 17:42:00
CN-00001,7,Delivered,,2026-08-29 04:51:00
CN-00001,8,POD Uploaded,,2026-08-29 16:00:00
CN-00002,1,Booking Created,,2026-09-04 18:00:00
CN-00002,2,Vehicle Allocated,,2026-09-05 00:11:00
CN-00002,3,Picked Up,,2026-09-05 06:22:00
CN-00002,4,In Transit,,2026-09-05 12:33:00
