ewb_no,invoice_no,cn_no,lr_no,gstin,vehicle_id,transporter_id,valid_from,valid_to,status
7239 2609 8559,KA/26-27/4507,CN-90543,LR-8543,23DVBPK8201Y1ZX,VEH-008,27AAACA1234F1ZT,2026-08-20,2026-09-03 14:39:01.221841,Valid
7263 4009 1376,OM/26-27/1310,CN-90575,LR-8575,24OBWOM2485R1ZX,VEH-047,27AAACA1234F1ZT,2026-08-22,2026-09-03 05:10:36.297523,Valid
7273 5499 9586,ME/26-27/3876,CN-90577,LR-8577,23BECUT2708M1ZX,VEH-015,27AAACA1234F1ZT,2026-08-20,2026-08-31 03:54:56.98846,Expired
7287 3154 5910,VA/26-27/1839,CN-90578,LR-8578,27TXPFY3788O1ZX,VEH-013,27AAACA1234F1ZT,2026-08-23,2026-09-02 06:44:00.852127,Expiring Soon
7296 1155 7288,SU/26-27/8358,CN-90586,LR-8586,23PZWJL5685W1ZX,VEH-053,27AAACA1234F1ZT,2026-08-29,2026-09-04 10:50:23.736247,Valid
7261 9604 3381,KA/26-27/6838,CN-90587,LR-8587,29DTBVS1997X1ZX,VEH-047,27AAACA1234F1ZT,2026-08-28,2026-09-04 12:55:01.387782,Valid
7239 8648 5967,OM/26-27/2426,CN-90588,LR-8588,27IVNGZ3888N1ZX,VEH-045,27AAACA1234F1ZT,2026-08-22,2026-09-04 05:09:03.209716,Valid
7228 5724 1935,ME/26-27/2582,CN-90593,LR-8593,27XRLBF8067H1ZX,VEH-053,27AAACA1234F1ZT,2026-08-29,2026-09-05 11:48:37.343198,Valid
7263 3640 8384,SA/26-27/4606,CN-90618,LR-8618,07NGXFL2095K1ZX,VEH-021,27AAACA1234F1ZT,2026-08-21,2026-09-03 03:23:35.169337,Valid
7240 4482 1606,TR/26-27/8499,CN-90619,LR-8619,08IPHKD4068F1ZX,VEH-057,27AAACA1234F1ZT,2026-08-25,2026-09-05 06:59:07.328874,Valid
7227 6453 5739,KA/26-27/7280,CN-90623,LR-8623,27LFSJG2252T1ZX,VEH-059,27AAACA1234F1ZT,2026-08-21,2026-09-05 08:09:03.856243,Valid
7258 2447 8312,SA/26-27/9136,CN-90634,LR-8634,23XAORF4133U1ZX,VEH-036,27AAACA1234F1ZT,2026-08-21,2026-09-02 09:57:36.730029,Valid
7264 7989 4896,EV/26-27/3277,CN-90648,LR-8648,27RBURX5322K1ZX,VEH-030,27AAACA1234F1ZT,2026-08-21,2026-09-03 09:02:10.181114,Valid
7214 6782 8069,VI/26-27/7897,CN-90661,LR-8661,27QDAYU4952C1ZX,VEH-049,27AAACA1234F1ZT,2026-08-29,2026-09-01 07:25:16.0039,Expired
7297 7435 7824,SH/26-27/5875,CN-90662,LR-8662,24AMIYL9403C1ZX,VEH-061,27AAACA1234F1ZT,2026-08-26,2026-09-03 10:30:13.103807,Valid
7276 8067 7847,BU/26-27/5560,CN-90672,LR-8672,23JAIKN8047O1ZX,VEH-049,27AAACA1234F1ZT,2026-08-23,2026-08-30 07:07:02.76669,Expired
7289 6137 2451,BH/26-27/2099,CN-90681,LR-8681,23EUUNL2841N1ZX,VEH-011,27AAACA1234F1ZT,2026-08-20,2026-09-05 08:38:58.656998,Valid
7253 1809 6771,EV/26-27/3152,CN-90691,LR-8691,27RFAAQ7579W1ZX,VEH-038,27AAACA1234F1ZT,2026-08-23,2026-09-02 05:57:06.372825,Expiring Soon
7268 8908 7953,SH/26-27/9312,CN-90703,LR-8703,09HKVQI3635U1ZX,VEH-060,27AAACA1234F1ZT,2026-08-24,2026-09-02 13:35:54.92719,Valid
7285 4055 5456,SU/26-27/8796,CN-90712,LR-8712,23PZWJL5685W1ZX,VEH-012,27AAACA1234F1ZT,2026-08-26,2026-09-02 12:27:17.777745,Valid
7279 1893 4065,TR/26-27/5509,CN-90719,LR-8719,09BPZDU3460P1ZX,VEH-024,27AAACA1234F1ZT,2026-08-21,2026-09-04 09:13:52.346085,Valid
7250 6466 9094,KA/26-27/1355,CN-90741,LR-8741,27HPOJJ7511V1ZX,VEH-029,27AAACA1234F1ZT,2026-08-28,2026-09-01 03:34:57.03484,Expired
7224 4727 2997,OM/26-27/2635,CN-90752,LR-8752,27IVNGZ3888N1ZX,VEH-012,27AAACA1234F1ZT,2026-08-28,2026-09-01 04:31:52.334993,Expired
7285 8605 8141,NO/26-27/8246,CN-90767,LR-8767,23AMDJT5281S1ZX,VEH-012,27AAACA1234F1ZT,2026-08-24,2026-09-02 04:29:35.655429,Expiring Soon
7271 9819 1928,SA/26-27/9349,CN-90770,LR-8770,23YXCJI4716V1ZX,VEH-060,27AAACA1234F1ZT,2026-08-28,2026-09-02 12:45:26.22508,Valid
7293 1033 9460,SA/26-27/6945,CN-90771,LR-8771,22LLVXW5266K1ZX,VEH-033,27AAACA1234F1ZT,2026-08-26,2026-09-05 11:26:04.500847,Valid
7215 7461 5726,KA/26-27/5185,CN-90776,LR-8776,27LFSJG2252T1ZX,VEH-034,27AAACA1234F1ZT,2026-08-26,2026-09-04 04:10:59.536095,Valid
7247 3578 8436,SU/26-27/1624,CN-90784,LR-8784,09QLDOE2033Q1ZX,VEH-060,27AAACA1234F1ZT,2026-08-28,2026-08-31 04:24:20.527576,Expired
7224 6084 4866,GO/26-27/9702,CN-90791,LR-8791,24UXZJO2924C1ZX,VEH-009,27AAACA1234F1ZT,2026-08-29,2026-09-04 12:20:37.947104,Valid
7255 7308 1229,SU/26-27/7821,CN-90805,LR-8805,06UOPCB6125K1ZX,VEH-017,27AAACA1234F1ZT,2026-08-21,2026-09-03 14:55:12.870885,Valid
