vehicle_id,trip_no,lat,lon,speed,heading,ignition,idle_min,ts,status
VEH-008,TRP-2143,22.3389,75.1173,0,NW,OFF,170,2026-09-01 09:17:18.310022,Halted
VEH-047,TRP-2175,25.8187,74.2324,59,N,ON,27,2026-09-01 09:20:18.310022,Alert
VEH-015,TRP-2177,21.5998,73.7143,49,NW,ON,33,2026-09-01 09:20:24.310022,Alert
VEH-013,TRP-2178,20.9861,79.0547,39,N,ON,27,2026-09-01 09:18:52.310022,Running
VEH-053,TRP-2186,20.1176,74.5886,50,SE,ON,3,2026-09-01 09:20:24.310022,Running
VEH-045,TRP-2188,19.444,78.9246,60,NE,ON,23,2026-09-01 09:15:42.310022,Running
VEH-021,TRP-2218,28.3083,78.0875,0,NE,OFF,57,2026-09-01 09:20:42.310022,Halted
VEH-057,TRP-2219,24.3495,82.8841,48,N,ON,1,2026-09-01 09:16:19.310022,Running
VEH-059,TRP-2223,22.7134,79.4668,31,SW,ON,34,2026-09-01 09:17:52.310022,Running
VEH-036,TRP-2234,26.9911,76.9761,28,S,ON,21,2026-09-01 09:18:06.310022,Running
VEH-030,TRP-2248,25.9385,77.7445,29,S,ON,40,2026-09-01 09:13:59.310022,Running
VEH-049,TRP-2261,20.3972,73.5371,57,N,ON,8,2026-09-01 09:19:51.310022,Running
VEH-061,TRP-2262,25.9269,78.139,41,N,ON,25,2026-09-01 09:13:12.310022,Alert
VEH-011,TRP-2281,23.781,77.3984,39,NE,ON,40,2026-09-01 09:11:50.310022,Running
VEH-038,TRP-2291,19.8776,73.6324,56,SW,ON,37,2026-09-01 09:19:28.310022,Running
VEH-060,TRP-2303,23.346800000000002,77.2128,36,NE,ON,16,2026-09-01 09:17:17.310022,Running
VEH-012,TRP-2312,26.2102,76.5352,0,E,OFF,148,2026-09-01 09:14:06.310022,Halted
VEH-024,TRP-2319,24.9761,76.9986,64,W,ON,17,2026-09-01 09:12:52.310022,Running
VEH-029,TRP-2341,25.1466,80.3354,41,N,ON,3,2026-09-01 09:13:45.310022,Running
VEH-033,TRP-2371,22.4726,80.9933,37,N,ON,14,2026-09-01 09:14:01.310022,Running
VEH-034,TRP-2376,22.4971,78.8335,37,SW,ON,2,2026-09-01 09:14:00.310022,Running
VEH-009,TRP-2391,25.798,78.7676,51,E,ON,37,2026-09-01 09:17:11.310022,Running
VEH-017,TRP-2405,24.6971,75.8301,40,S,ON,38,2026-09-01 09:18:47.310022,Alert
