invoice_no,invoice_date,client_id,branch_id,lr_no,cn_no,amount,gst_mode,gst_pct,gst_amount,total,paid_amount,due_date,source,status
INV-2001,2026-07-18,CUST-0127,BR-009,LR-8513,CN-90513,25900,RCM,5,0,25900,25900,2026-08-01,auto,Paid
INV-2002,2026-08-24,CUST-0170,BR-014,LR-8514,CN-90514,13900,RCM,5,0,13900,0,2026-09-07,auto,Draft
INV-2003,2026-08-09,CUST-0123,BR-018,LR-8515,CN-90515,6600,FCM,12,792,7392,7392,2026-08-23,auto,Paid
INV-2004,2026-08-07,CUST-0061,BR-011,LR-8516,CN-90516,10100,FCM,12,1212,11312,11312,2026-08-21,auto,Paid
INV-2005,2026-07-10,CUST-0170,BR-014,LR-8517,CN-90517,21700,RCM,5,0,21700,21700,2026-07-24,auto,Paid
INV-2006,2026-08-17,CUST-0209,BR-011,LR-8521,CN-90521,16500,RCM,5,0,16500,6700,2026-08-31,auto,Partially paid
INV-2007,2026-08-23,CUST-0070,BR-011,LR-8522,CN-90522,13200,FCM,12,1584,14784,0,2026-09-06,auto,Sent
INV-2008,2026-08-19,CUST-0090,BR-018,LR-8523,CN-90523,29900,RCM,5,0,29900,0,2026-09-02,auto,Sent
INV-2009,2026-08-01,CUST-0049,BR-016,LR-8524,CN-90524,35700,RCM,5,0,35700,0,2026-08-15,auto,Overdue
INV-2010,2026-07-27,CUST-0140,BR-001,LR-8527,CN-90527,21800,RCM,5,0,21800,21800,2026-08-10,auto,Paid
INV-2011,2026-08-08,CUST-0115,BR-010,LR-8528,CN-90528,12900,RCM,5,0,12900,0,2026-08-22,auto,Overdue
INV-2012,2026-07-09,CUST-0054,BR-011,LR-8530,CN-90530,14400,RCM,5,0,14400,14400,2026-07-23,auto,Paid
INV-2013,2026-08-15,CUST-0097,BR-001,LR-8532,CN-90532,6500,RCM,5,0,6500,3700,2026-08-29,auto,Partially paid
INV-2014,2026-08-23,CUST-0089,BR-017,LR-8534,CN-90534,33100,RCM,5,0,33100,0,2026-09-06,auto,Draft
INV-2015,2026-08-18,CUST-0205,BR-001,LR-8535,CN-90535,12500,RCM,5,0,12500,0,2026-09-01,auto,Sent
INV-2016,2026-08-08,CUST-0055,BR-010,LR-8536,CN-90536,6400,RCM,5,0,6400,6400,2026-08-22,auto,Paid
INV-2017,2026-08-19,CUST-0140,BR-001,LR-8537,CN-90537,15000,RCM,5,0,15000,0,2026-09-02,auto,Sent
INV-2018,2026-08-22,CUST-0210,BR-005,LR-8538,CN-90538,7600,RCM,5,0,7600,0,2026-09-05,auto,Sent
INV-2019,2026-08-15,CUST-0038,BR-005,LR-8539,CN-90539,25100,RCM,5,0,25100,0,2026-08-29,auto,Overdue
INV-2020,2026-07-21,CUST-0105,BR-001,LR-8540,CN-90540,16500,RCM,5,0,16500,16500,2026-08-04,auto,Paid
INV-2021,2026-07-15,CUST-0024,BR-015,LR-8541,CN-90541,13500,FCM,18,2430,15930,15930,2026-07-29,auto,Paid
INV-2022,2026-07-27,CUST-0050,BR-014,LR-8542,CN-90542,17000,RCM,5,0,17000,0,2026-08-10,auto,Overdue
INV-2023,2026-07-16,CUST-0162,BR-018,LR-8544,CN-90544,12100,RCM,5,0,12100,0,2026-07-30,auto,Overdue
INV-2024,2026-08-22,CUST-0162,BR-018,LR-8545,CN-90545,10800,RCM,5,0,10800,0,2026-09-05,auto,Sent
INV-2025,2026-08-14,CUST-0077,BR-002,LR-8546,CN-90546,35100,RCM,5,0,35100,0,2026-08-28,auto,Overdue
INV-2026,2026-08-29,CUST-0036,BR-008,LR-8547,CN-90547,17300,FCM,12,2076,19376,0,2026-09-12,auto,Sent
INV-2027,2026-08-09,CUST-0040,BR-013,LR-8548,CN-90548,42500,FCM,18,7650,50150,0,2026-08-23,auto,Overdue
INV-2028,2026-08-01,CUST-0152,BR-017,LR-8549,CN-90549,19900,RCM,5,0,19900,0,2026-08-15,auto,Overdue
INV-2029,2026-08-16,CUST-0182,BR-003,LR-8551,CN-90551,14200,RCM,5,0,14200,0,2026-08-30,auto,Overdue
INV-2030,2026-08-21,CUST-0048,BR-005,LR-8553,CN-90553,8700,RCM,5,0,8700,0,2026-09-04,auto,Sent
INV-2031,2026-08-07,CUST-0015,BR-009,LR-8557,CN-90557,6900,RCM,5,0,6900,6900,2026-08-21,auto,Paid
INV-2032,2026-08-24,CUST-0055,BR-010,LR-8558,CN-90558,17800,RCM,5,0,17800,0,2026-09-07,auto,Sent
INV-2033,2026-07-09,CUST-0148,BR-016,LR-8559,CN-90559,7900,RCM,5,0,7900,7900,2026-07-23,auto,Paid
INV-2034,2026-08-02,CUST-0084,BR-006,LR-8562,CN-90562,10800,RCM,5,0,10800,10800,2026-08-16,auto,Paid
INV-2035,2026-08-03,CUST-0114,BR-006,LR-8564,CN-90564,11900,RCM,5,0,11900,11900,2026-08-17,auto,Paid
INV-2036,2026-08-01,CUST-0096,BR-010,LR-8566,CN-90566,32600,RCM,5,0,32600,32600,2026-08-15,auto,Paid
INV-2037,2026-08-16,CUST-0214,BR-014,LR-8567,CN-90567,11500,RCM,5,0,11500,3500,2026-08-30,auto,Partially paid
INV-2038,2026-07-17,CUST-0175,BR-008,LR-8569,CN-90569,14300,RCM,5,0,14300,14300,2026-07-31,auto,Paid
INV-2039,2026-08-18,CUST-0083,BR-009,LR-8570,CN-90570,5300,RCM,5,0,5300,0,2026-09-01,auto,Draft
INV-2040,2026-08-05,CUST-0032,BR-005,LR-8573,CN-90573,10700,RCM,5,0,10700,10700,2026-08-19,auto,Paid
INV-2041,2026-07-15,CUST-0164,BR-002,LR-8576,CN-90576,15000,RCM,5,0,15000,15000,2026-07-29,auto,Paid
INV-2042,2026-07-24,CUST-0017,BR-013,LR-8579,CN-90579,15400,FCM,12,1848,17248,17248,2026-08-07,auto,Paid
INV-2043,2026-08-19,CUST-0023,BR-011,LR-8580,CN-90580,17200,RCM,5,0,17200,0,2026-09-02,auto,Sent
INV-2044,2026-07-25,CUST-0166,BR-013,LR-8583,CN-90583,9500,RCM,5,0,9500,9500,2026-08-08,auto,Paid
INV-2045,2026-08-17,CUST-0092,BR-002,LR-8584,CN-90584,17100,RCM,5,0,17100,0,2026-08-31,auto,Overdue
INV-2046,2026-08-15,CUST-0132,BR-003,LR-8585,CN-90585,21400,RCM,5,0,21400,21400,2026-08-29,auto,Paid
INV-2047,2026-08-21,CUST-0143,BR-001,LR-8589,CN-90589,7300,RCM,5,0,7300,0,2026-09-04,auto,Draft
INV-2048,2026-08-09,CUST-0126,BR-010,LR-8590,CN-90590,25600,RCM,5,0,25600,0,2026-08-23,auto,Overdue
INV-2049,2026-08-20,CUST-0096,BR-010,LR-8591,CN-90591,31900,RCM,5,0,31900,0,2026-09-03,auto,Sent
INV-2050,2026-08-14,CUST-0155,BR-005,LR-8592,CN-90592,23000,RCM,5,0,23000,23000,2026-08-28,auto,Paid
INV-2051,2026-07-22,CUST-0072,BR-005,LR-8594,CN-90594,30100,RCM,5,0,30100,30100,2026-08-05,auto,Paid
INV-2052,2026-08-18,CUST-0065,BR-009,LR-8595,CN-90595,5000,RCM,5,0,5000,0,2026-09-01,auto,Sent
INV-2053,2026-08-09,CUST-0191,BR-012,LR-8596,CN-90596,10500,RCM,5,0,10500,10500,2026-08-23,auto,Paid
INV-2054,2026-08-20,CUST-0023,BR-011,LR-8597,CN-90597,8700,RCM,5,0,8700,0,2026-09-03,auto,Sent
INV-2055,2026-08-20,CUST-0065,BR-009,LR-8598,CN-90598,35700,RCM,5,0,35700,0,2026-09-03,auto,Sent
INV-2056,2026-08-28,CUST-0018,BR-006,LR-8601,CN-90601,8800,RCM,5,0,8800,0,2026-09-11,auto,Draft
INV-2057,2026-08-13,CUST-0077,BR-002,LR-8605,CN-90605,21400,RCM,5,0,21400,6800,2026-08-27,auto,Partially paid
INV-2058,2026-07-18,CUST-0057,BR-006,LR-8608,CN-90608,16300,FCM,18,2934,19234,0,2026-08-01,auto,Overdue
