payment_id,date,client_id,invoice_no,mode,reference,amount,received_by
RCP-0001,2026-07-29,CUST-0127,INV-2001,NEFT,UTR9441418,25900,Deepak Jha
RCP-0002,2026-08-13,CUST-0123,INV-2003,UPI,UTR2710912,7392,Amit Pawar
RCP-0003,2026-08-16,CUST-0061,INV-2004,NEFT,UTR6673318,11312,Pooja Chauhan
RCP-0004,2026-07-23,CUST-0170,INV-2005,Cash,UTR4637308,21700,Amit Pawar
RCP-0005,2026-08-27,CUST-0209,INV-2006,RTGS,UTR1173420,6700,Pooja Chauhan
RCP-0006,2026-08-06,CUST-0140,INV-2010,UPI,UTR3770508,21800,Ganesh Malhotra
RCP-0007,2026-07-19,CUST-0054,INV-2012,NEFT,UTR7721683,14400,Amit Pawar
RCP-0008,2026-08-23,CUST-0097,INV-2013,NEFT,UTR7206107,3700,Amit Pawar
RCP-0009,2026-08-13,CUST-0055,INV-2016,Cheque,UTR4508010,6400,Arif Deshmukh
RCP-0010,2026-08-02,CUST-0105,INV-2020,RTGS,UTR4127123,16500,Ganesh Malhotra
RCP-0011,2026-07-25,CUST-0024,INV-2021,NEFT,UTR1332831,15930,Amit Pawar
RCP-0012,2026-08-18,CUST-0015,INV-2031,Cash,UTR4130266,6900,Mahesh Yadav
RCP-0013,2026-07-15,CUST-0148,INV-2033,NEFT,UTR9727057,7900,Rahul More
RCP-0014,2026-08-07,CUST-0084,INV-2034,Cash,UTR1300999,10800,Pooja Chauhan
RCP-0015,2026-08-09,CUST-0114,INV-2035,Cash,UTR7899410,11900,Jaspreet Jha
RCP-0016,2026-08-06,CUST-0096,INV-2036,RTGS,UTR5402910,32600,Rahul More
RCP-0017,2026-08-21,CUST-0214,INV-2037,RTGS,UTR8255734,3500,Rajesh Deshmukh
RCP-0018,2026-07-29,CUST-0175,INV-2038,Cheque,UTR5084858,14300,Rahul More
RCP-0019,2026-08-18,CUST-0032,INV-2040,UPI,UTR5860706,10700,Ganesh Malhotra
RCP-0020,2026-07-26,CUST-0164,INV-2041,NEFT,UTR2351593,15000,Rahul More
RCP-0021,2026-08-01,CUST-0017,INV-2042,Cheque,UTR3554101,17248,Rajesh Deshmukh
RCP-0022,2026-07-29,CUST-0166,INV-2044,NEFT,UTR5160124,9500,Pooja Chauhan
RCP-0023,2026-08-29,CUST-0132,INV-2046,RTGS,UTR6650417,21400,Jaspreet Jha
RCP-0024,2026-08-18,CUST-0155,INV-2050,Cheque,UTR4621162,23000,Ganesh Malhotra
RCP-0025,2026-07-26,CUST-0072,INV-2051,Cash,UTR5570575,30100,Mahesh Yadav
RCP-0026,2026-08-13,CUST-0191,INV-2053,UPI,UTR7209480,10500,Pooja Chauhan
RCP-0027,2026-08-21,CUST-0077,INV-2057,UPI,UTR7050401,6800,Kishor Khan
RCP-0028,2026-08-11,CUST-0031,INV-2060,Cash,UTR3272482,35046,Lata Kulkarni
RCP-0029,2026-08-19,CUST-0022,INV-2062,RTGS,UTR5319985,17000,Amit Pawar
RCP-0030,2026-07-24,CUST-0012,INV-2064,NEFT,UTR2145595,23072,Amit Pawar
RCP-0031,2026-07-27,CUST-0206,INV-2066,UPI,UTR3556356,14200,Ganesh Malhotra
RCP-0032,2026-08-02,CUST-0186,INV-2067,NEFT,UTR6748184,6000,Amit Pawar
RCP-0033,2026-08-20,CUST-0173,INV-2073,Cash,UTR8086900,11100,Deepak Jha
RCP-0034,2026-07-19,CUST-0020,INV-2074,UPI,UTR9017463,19300,Pooja Chauhan
RCP-0035,2026-08-06,CUST-0048,INV-2075,RTGS,UTR4333883,32100,Rajesh Deshmukh
RCP-0036,2026-08-17,CUST-0125,INV-2078,Cheque,UTR8025773,30798,Arif Deshmukh
RCP-0037,2026-08-12,CUST-0080,INV-2080,RTGS,UTR8578774,33500,Rahul More
RCP-0038,2026-08-19,CUST-0122,INV-2081,Cheque,UTR2000910,42100,Deepak Jha
RCP-0039,2026-08-26,CUST-0034,INV-2084,UPI,UTR1651933,6100,Mahesh Yadav
RCP-0040,2026-08-26,CUST-0148,INV-2086,Cash,UTR9406445,9600,Amit Pawar
RCP-0041,2026-07-27,CUST-0161,INV-2088,NEFT,UTR3301390,17700,Mahesh Yadav
RCP-0042,2026-07-23,CUST-0145,INV-2089,Cheque,UTR4555314,13200,Lata Kulkarni
RCP-0043,2026-08-18,CUST-0050,INV-2091,RTGS,UTR5939809,16100,Arif Deshmukh
RCP-0044,2026-07-27,CUST-0013,INV-2092,NEFT,UTR6082196,15900,Kishor Khan
RCP-0045,2026-08-04,CUST-0079,INV-2093,RTGS,UTR5290196,21200,Deepak Jha
RCP-0046,2026-08-18,CUST-0017,INV-2094,RTGS,UTR2471532,33040,Arif Deshmukh
RCP-0047,2026-07-20,CUST-0072,INV-2096,Cheque,UTR7198973,12800,Arif Deshmukh
RCP-0048,2026-08-14,CUST-0005,INV-2098,Cheque,UTR6190148,31300,Lata Kulkarni
RCP-0049,2026-08-05,CUST-0060,INV-2103,UPI,UTR1172691,5700,Rahul More
RCP-0050,2026-08-28,CUST-0101,INV-2104,NEFT,UTR3729280,8300,Ganesh Malhotra
RCP-0051,2026-08-18,CUST-0129,INV-2106,NEFT,UTR1345700,6136,Rajesh Deshmukh
RCP-0052,2026-08-18,CUST-0070,INV-2108,NEFT,UTR1811740,8400,Arif Deshmukh
RCP-0053,2026-08-17,CUST-0126,INV-2109,Cheque,UTR1825279,9800,Rahul More
RCP-0054,2026-07-30,CUST-0157,INV-2110,Cash,UTR3286367,17800,Arif Deshmukh
RCP-0055,2026-08-18,CUST-0039,INV-2114,RTGS,UTR5198891,6500,Rajesh Deshmukh
RCP-0056,2026-07-23,CUST-0072,INV-2117,NEFT,UTR6857072,9300,Mahesh Yadav
