period,employee_id,basic,hra,da,incentive,ot,trip_allowance,advances,pf,esi,pt,net,status
Aug 2026,EMP-0001,9000,5400,3600,0,0,8400,8850,1080,135,200,16135,Ready
Aug 2026,EMP-0002,9000,5400,3600,0,0,9800,9700,1080,135,200,16685,Ready
Aug 2026,EMP-0003,9000,5400,3600,0,0,9800,9700,1080,135,200,16685,Ready
Aug 2026,EMP-0004,9000,5400,3600,0,0,5600,6250,1080,135,200,15935,Ready
Aug 2026,EMP-0005,9000,5400,3600,0,0,7000,7100,1080,135,200,16485,Ready
Aug 2026,EMP-0006,9000,5400,3600,0,0,4200,3900,1080,135,200,16885,Ready
Aug 2026,EMP-0007,9000,5400,3600,0,0,4200,4900,1080,135,200,15885,Ready
Aug 2026,EMP-0008,9000,5400,3600,0,0,8400,9000,1080,135,200,15985,Ready
Aug 2026,EMP-0009,9000,5400,3600,0,0,8400,8550,1080,135,200,16435,Ready
Aug 2026,EMP-0010,9000,5400,3600,0,0,8400,8450,1080,135,200,16535,Ready
Aug 2026,EMP-0011,9000,5400,3600,0,0,4200,4700,1080,135,200,16085,Ready
Aug 2026,EMP-0012,9000,5400,3600,0,0,0,0,1080,135,200,16585,Ready
Aug 2026,EMP-0013,9000,5400,3600,0,0,1400,1500,1080,135,200,16485,Ready
Aug 2026,EMP-0014,9000,5400,3600,0,0,11200,11800,1080,135,200,15985,Ready
Aug 2026,EMP-0015,9000,5400,3600,0,0,15400,15300,1080,135,200,16685,Ready
Aug 2026,EMP-0016,9000,5400,3600,0,0,4200,5050,1080,135,200,15735,Ready
Aug 2026,EMP-0017,9000,5400,3600,0,0,5600,5650,1080,135,200,16535,Ready
Aug 2026,EMP-0018,9000,5400,3600,0,0,4200,3900,1080,135,200,16885,Ready
Aug 2026,EMP-0019,9000,5400,3600,0,0,7000,6750,1080,135,200,16835,Ready
Aug 2026,EMP-0020,9000,5400,3600,0,0,8400,9000,1080,135,200,15985,Ready
Aug 2026,EMP-0021,9000,5400,3600,0,0,11200,11800,1080,135,200,15985,Ready
Aug 2026,EMP-0022,9000,5400,3600,0,0,15400,15950,1080,135,200,16035,Ready
Aug 2026,EMP-0023,9000,5400,3600,0,0,11200,11550,1080,135,200,16235,Ready
Aug 2026,EMP-0024,9000,5400,3600,0,0,4200,4300,1080,135,200,16485,Ready
Aug 2026,EMP-0025,9000,5400,3600,0,0,5600,6000,1080,135,200,16185,Ready
Aug 2026,EMP-0026,9000,5400,3600,0,0,4200,4300,1080,135,200,16485,Ready
Aug 2026,EMP-0027,9000,5400,3600,0,0,12600,13300,1080,135,200,15885,Ready
Aug 2026,EMP-0028,9000,5400,3600,0,0,5600,5800,1080,135,200,16385,Ready
Aug 2026,EMP-0029,9000,5400,3600,0,0,8400,8750,1080,135,200,16235,Ready
Aug 2026,EMP-0030,9000,5400,3600,0,0,4200,4350,1080,135,200,16435,Ready
Aug 2026,EMP-0031,9000,5400,3600,0,0,5600,5550,1080,135,200,16635,Ready
Aug 2026,EMP-0032,9000,5400,3600,0,0,7000,6950,1080,135,200,16635,Ready
Aug 2026,EMP-0033,9000,5400,3600,0,0,1400,1400,1080,135,200,16585,Ready
