role,module,view,create,edit,delete,approve,export
Super Admin,dashboard,1,1,1,1,1,1
Super Admin,branches,1,1,1,1,1,1
Super Admin,users,1,1,1,1,1,1
Super Admin,clients,1,1,1,1,1,1
Super Admin,vendors,1,1,1,1,1,1
Super Admin,bookings,1,1,1,1,1,1
Super Admin,cargo_moto,1,1,1,1,1,1
Super Admin,consignments,1,1,1,1,1,1
Super Admin,trips,1,1,1,1,1,1
Super Admin,ewaybill,1,1,1,1,1,1
Super Admin,pod,1,1,1,1,1,1
Super Admin,tracking,1,1,1,1,1,1
Super Admin,livegps,1,1,1,1,1,1
Super Admin,vehicles,1,1,1,1,1,1
Super Admin,drivers,1,1,1,1,1,1
Super Admin,pincodes,1,1,1,1,1,1
Super Admin,complaints,1,1,1,1,1,1
Super Admin,invoices,1,1,1,1,1,1
Super Admin,payments,1,1,1,1,1,1
Super Admin,hrms_employees,1,1,1,1,1,1
Super Admin,hrms_attendance,1,1,1,1,1,1
Super Admin,hrms_payroll,1,1,1,1,1,1
Super Admin,reports,1,1,1,1,1,1
Super Admin,portal_branch,1,1,1,1,1,1
Super Admin,portal_customer,1,1,1,1,1,1
Super Admin,portal_vendor,1,1,1,1,1,1
Super Admin,driver,0,0,0,0,0,0
Super Admin,security,1,1,1,1,1,1
Super Admin,settings,1,1,1,1,1,1
Branch Admin,dashboard,1,1,1,0,1,1
Branch Admin,branches,1,1,1,0,1,1
Branch Admin,users,1,1,1,0,1,1
Branch Admin,clients,1,1,1,0,1,1
Branch Admin,vendors,1,1,1,0,1,1
Branch Admin,bookings,1,1,1,0,1,1
Branch Admin,cargo_moto,1,1,1,0,1,1
Branch Admin,consignments,1,1,1,0,1,1
Branch Admin,trips,1,1,1,0,1,1
Branch Admin,ewaybill,1,1,1,0,1,1
Branch Admin,pod,1,1,1,0,1,1
Branch Admin,tracking,1,1,1,0,1,1
Branch Admin,livegps,1,1,1,0,1,1
Branch Admin,vehicles,1,1,1,0,1,1
Branch Admin,drivers,1,1,1,0,1,1
Branch Admin,pincodes,1,1,1,0,1,1
Branch Admin,complaints,1,1,1,0,1,1
Branch Admin,invoices,1,1,1,0,1,1
Branch Admin,payments,1,1,1,0,1,1
Branch Admin,hrms_employees,1,1,1,0,1,1
Branch Admin,hrms_attendance,1,1,1,0,1,1
Branch Admin,hrms_payroll,1,1,1,0,1,1
Branch Admin,reports,1,1,1,0,1,1
Branch Admin,portal_branch,1,1,1,0,1,1
Branch Admin,portal_customer,1,1,1,0,1,1
Branch Admin,portal_vendor,1,1,1,0,1,1
Branch Admin,driver,0,0,0,0,0,0
Branch Admin,security,0,0,0,0,0,0
Branch Admin,settings,0,0,0,0,0,0
Operations Manager,dashboard,1,1,1,0,1,0
Operations Manager,branches,0,0,0,0,0,0
Operations Manager,users,0,0,0,0,0,0
Operations Manager,clients,1,1,1,0,1,0
Operations Manager,vendors,1,1,1,0,1,0
Operations Manager,bookings,1,1,1,0,1,0
Operations Manager,cargo_moto,1,1,1,0,1,0
Operations Manager,consignments,1,1,1,0,1,0
Operations Manager,trips,1,1,1,0,1,0
Operations Manager,ewaybill,1,1,1,0,1,0
Operations Manager,pod,1,1,1,0,1,0
Operations Manager,tracking,1,1,1,0,1,0
Operations Manager,livegps,1,1,1,0,1,0
Operations Manager,vehicles,1,1,1,0,1,0
Operations Manager,drivers,1,1,1,0,1,0
Operations Manager,pincodes,1,1,1,0,1,0
Operations Manager,complaints,1,1,1,0,1,0
Operations Manager,invoices,0,0,0,0,0,0
Operations Manager,payments,0,0,0,0,0,0
Operations Manager,hrms_employees,1,1,1,0,1,0
Operations Manager,hrms_attendance,1,1,1,0,1,0
Operations Manager,hrms_payroll,0,0,0,0,0,0
Operations Manager,reports,1,1,1,0,1,0
Operations Manager,portal_branch,1,1,1,0,1,0
Operations Manager,portal_customer,1,1,1,0,1,0
Operations Manager,portal_vendor,1,1,1,0,1,0
Operations Manager,driver,0,0,0,0,0,0
Operations Manager,security,0,0,0,0,0,0
Operations Manager,settings,0,0,0,0,0,0
Booking Executive,dashboard,1,1,1,0,0,0
Booking Executive,branches,0,0,0,0,0,0
Booking Executive,users,0,0,0,0,0,0
Booking Executive,clients,1,1,1,0,0,0
Booking Executive,vendors,1,1,1,0,0,0
Booking Executive,bookings,1,1,1,0,0,0
Booking Executive,cargo_moto,1,1,1,0,0,0
Booking Executive,consignments,1,1,1,0,0,0
Booking Executive,trips,1,1,1,0,0,0
Booking Executive,ewaybill,1,1,1,0,0,0
Booking Executive,pod,1,1,1,0,0,0
Booking Executive,tracking,1,1,1,0,0,0
Booking Executive,livegps,1,1,1,0,0,0
Booking Executive,vehicles,1,1,1,0,0,0
Booking Executive,drivers,1,1,1,0,0,0
Booking Executive,pincodes,1,1,1,0,0,0
Booking Executive,complaints,1,1,1,0,0,0
Booking Executive,invoices,0,0,0,0,0,0
Booking Executive,payments,0,0,0,0,0,0
Booking Executive,hrms_employees,0,0,0,0,0,0
