city,state,pincode,lat,lon,pincodes
Nicobar,Andaman & Nicobar Islands,744301,9.1833,92.7667,4
North And Middle Andaman,Andaman & Nicobar Islands,744201,12.6435,92.8794,7
South Andaman,Andaman & Nicobar Islands,744101,11.6647,92.7026,11
Ananthapur,Andhra Pradesh,515001,14.4702,77.598,94
Chittoor,Andhra Pradesh,517001,13.4673,79.0143,99
Cuddapah,Andhra Pradesh,516001,14.4599,78.7836,84
East Godavari,Andhra Pradesh,533001,17.1885,82.0118,123
Guntur,Andhra Pradesh,522001,16.2725,80.2188,110
Krishna,Andhra Pradesh,520001,16.5627,80.8006,114
Kurnool,Andhra Pradesh,518001,15.5336,78.0061,85
Nellore,Andhra Pradesh,524001,14.4268,79.7716,80
Prakasam,Andhra Pradesh,523001,15.5983,79.6183,101
Srikakulam,Andhra Pradesh,532001,18.5286,83.8423,65
Visakhapatnam,Andhra Pradesh,530001,17.7576,82.9328,88
Vizianagaram,Andhra Pradesh,535001,18.4108,83.3793,58
West Godavari,Andhra Pradesh,534001,16.8327,81.4023,112
Changlang,Arunachal Pradesh,792055,27.3344,96.098,6
Dibang Valley,Arunachal Pradesh,792101,28.9513,95.9028,1
East Kameng,Arunachal Pradesh,790102,27.4411,92.968,2
East Siang,Arunachal Pradesh,791102,28.1238,95.1634,3
Kurung Kumey,Arunachal Pradesh,791118,27.8694,93.4899,1
Lohit,Arunachal Pradesh,792001,27.8401,96.1904,5
Longding,Arunachal Pradesh,792131,26.8356,95.3769,1
Lower Dibang Valley,Arunachal Pradesh,792110,28.2086,95.7843,1
Lower Subansiri,Arunachal Pradesh,791119,27.5312,93.7386,2
Papum Pare,Arunachal Pradesh,791109,27.2888,93.5969,9
Tawang,Arunachal Pradesh,790104,27.5811,91.8694,3
Tirap,Arunachal Pradesh,792129,27.0119,95.4854,2
Upper Siang,Arunachal Pradesh,791002,28.7432,94.9413,2
Upper Subansiri,Arunachal Pradesh,791122,28.1677,94.031,1
West Kameng,Arunachal Pradesh,790001,27.2625,92.3844,6
West Siang,Arunachal Pradesh,791001,28.2994,94.5592,4
Barpeta,Assam,781301,26.3402,91.0108,22
Bongaigaon,Assam,783373,26.3652,90.6248,14
Cachar,Assam,788001,24.8313,92.7721,46
Darrang,Assam,784113,26.4493,92.0374,26
Dhemaji,Assam,787026,27.5777,94.7778,9
Dhubri,Assam,783127,26.0675,90.0224,16
Dibrugarh,Assam,785675,27.3664,95.1745,27
Goalpara,Assam,783101,26.0637,90.6438,12
Golaghat,Assam,785601,26.4573,93.8334,19
Hailakandi,Assam,788117,24.4941,92.5888,19
Jorhat,Assam,785001,26.794,94.2565,30
Kamrup,Assam,781001,26.118,91.4061,73
Karbi Anglong,Assam,782139,26.0654,93.1487,15
Karimganj,Assam,788166,24.6949,92.3182,20
Kokrajhar,Assam,783332,26.4595,90.1306,16
Lakhimpur,Assam,784160,27.169,94.1258,16
Marigaon,Assam,782104,26.2848,92.282,10
Nagaon,Assam,782001,26.223,92.8425,31
Nalbari,Assam,781126,26.3796,91.3877,37
North Cachar Hills,Assam,788818,25.2421,93.0342,7
Sibsagar,Assam,785640,27.0073,94.82,33
Sonitpur,Assam,784001,26.7824,92.9393,42
Tinsukia,Assam,786125,27.5786,95.6265,31
Araria,Bihar,854311,26.1995,87.3543,11
Arwal,Bihar,804401,25.1616,84.6904,1
Aurangabad(BH),Bihar,824101,24.8168,84.4122,23
Banka,Bihar,813101,24.8537,86.8409,12
Begusarai,Bihar,848201,25.4953,86.0853,27
Bhagalpur,Bihar,812001,25.2705,87.0844,24
Bhojpur,Bihar,802152,25.469,84.5437,36
Buxar,Bihar,802101,25.5162,84.1018,26
Darbhanga,Bihar,846001,26.1138,86.0253,39
East Champaran,Bihar,845301,26.6184,84.9247,38
Gaya,Bihar,804402,24.714,84.936,39
Gopalganj,Bihar,841405,26.4427,84.3773,19
Jamui,Bihar,811301,24.8626,86.2289,11
Jehanabad,Bihar,804405,25.1566,85.0235,15
Kaimur (Bhabua),Bihar,802132,25.1572,83.6393,9
Katihar,Bihar,854101,25.5454,87.5924,19
Khagaria,Bihar,848203,25.5122,86.6031,13
Kishanganj,Bihar,855101,26.2593,87.9353,7
Lakhisarai,Bihar,811106,25.1555,86.1643,7
Madhepura,Bihar,852101,25.8259,86.8963,13
Madhubani,Bihar,847102,26.392,86.2179,36
Munger,Bihar,811201,25.21,86.5274,9
Muzaffarpur,Bihar,842001,26.1511,85.3308,39
Nalanda,Bihar,801301,25.233,85.4559,25
Nawada,Bihar,803109,24.811,85.5941,25
Patna,Bihar,800001,25.5587,85.131,62
Purnia,Bihar,854102,25.806,87.3915,19
Rohtas,Bihar,802211,25.114,84.1672,30
Saharsa,Bihar,852106,25.8166,86.5637,13
Samastipur,Bihar,848101,25.777,85.8033,34
Saran,Bihar,841101,25.9047,84.8253,48
Sheikhpura,Bihar,811101,25.1319,85.758,5
Sheohar,Bihar,843329,26.527,85.2899,1
Sitamarhi,Bihar,843301,26.576,85.5397,25
Siwan,Bihar,841203,26.1209,84.4064,34
Supaul,Bihar,847451,26.2477,86.8001,20
Vaishali,Bihar,843110,25.7751,85.3524,30
West Champaran,Bihar,845101,26.9237,84.4536,18
Chandigarh,Chandigarh,160001,30.7465,76.7417,24
Bastar,Chhattisgarh,494001,19.1065,81.876,14
Bijapur(CGH),Chhattisgarh,494444,18.8232,80.8163,5
Bilaspur(CGH),Chhattisgarh,495001,22.2231,82.0563,21
Dantewada,Chhattisgarh,494111,18.8321,81.3896,9
Dhamtari,Chhattisgarh,493662,20.6761,81.67,6
Durg,Chhattisgarh,490001,21.2134,81.3854,32
Gariaband,Chhattisgarh,493887,20.8365,81.9254,1
Janjgir-champa,Chhattisgarh,495552,21.9689,82.6806,15
Jashpur,Chhattisgarh,496118,22.8008,83.8662,13
Kabirdham,Chhattisgarh,491996,22.0342,81.2248,1
Kanker,Chhattisgarh,494332,20.3209,81.3323,13
Kawardha,Chhattisgarh,491336,21.8194,81.4326,3
Korba,Chhattisgarh,495118,22.5318,82.6118,20
Koriya,Chhattisgarh,497331,23.4674,82.2544,16
Mahasamund,Chhattisgarh,492112,21.2311,82.5221,8
Narayanpur,Chhattisgarh,494661,19.5673,81.0892,1
Raigarh,Chhattisgarh,496001,21.8764,83.3082,17
Raipur,Chhattisgarh,492001,21.2845,81.8203,47
Rajnandgaon,Chhattisgarh,491229,21.099,80.8764,13
Surguja,Chhattisgarh,497001,22.9405,83.1235,17
Dadra & Nagar Haveli,Dadra and Nagar Haveli and Daman and Diu,396230,20.2039,73.0504,2
Daman,Dadra and Nagar Haveli and Daman and Diu,396210,20.3964,72.8524,3
Diu,Dadra and Nagar Haveli and Daman and Diu,362520,20.7209,70.9399,3
Delhi,Delhi,110001,28.619,77.1603,98
North Goa,Goa,403001,15.5297,73.8682,45
South Goa,Goa,403106,15.2432,73.9712,43
Ahmedabad,Gujarat,380001,22.9579,72.4303,77
Amreli,Gujarat,362730,21.4216,71.2534,34
Anand,Gujarat,387210,22.4572,72.7924,56
Banaskantha,Gujarat,385001,24.2319,72.2495,28
Bharuch,Gujarat,391810,21.7793,72.9224,37
Bhavnagar,Gujarat,364001,21.5717,71.9007,41
Dahod,Gujarat,389130,23.0014,73.9842,15
Gandhi Nagar,Gujarat,382006,23.2529,72.6986,36
Jamnagar,Gujarat,360480,22.3145,70.2038,48
Junagadh,Gujarat,362001,21.3729,70.4136,50
Kachchh,Gujarat,370001,23.2775,69.6957,57
Kheda,Gujarat,387001,22.8377,72.9546,51
MORBI,Gujarat,363331,22.9264,71.0255,1
Mahesana,Gujarat,382165,23.6085,72.4661,45
Narmada,Gujarat,391120,21.7352,73.6483,12
Navsari,Gujarat,396040,20.8134,73.0929,39
Panch Mahals,Gujarat,388270,22.7204,73.6293,27
