alias,city,state
Bangalore,Bengaluru,Karnataka
Baroda,Vadodara,Gujarat
Belgaum,Belagavi,Karnataka
Bhiwandi,Thane,Maharashtra
Bombay,Mumbai,Maharashtra
Calcutta,Kolkata,West Bengal
Calicut,Kozhikode,Kerala
Cochin,Ernakulam,Kerala
Greater Noida,Gautam Buddha Nagar,Uttar Pradesh
Gulbarga,Kalaburagi,Karnataka
Gurugram,Gurgaon,Haryana
Guwahati,Kamrup,Assam
Hubli,Dharwad,Karnataka
Jamshedpur,East Singhbhum,Jharkhand
Kochi,Ernakulam,Kerala
Madras,Chennai,Tamil Nadu
Mangalore,Dakshina Kannada,Karnataka
Mysore,Mysuru,Karnataka
Navi Mumbai,Thane,Maharashtra
New Delhi,Delhi,Delhi
Noida,Gautam Buddha Nagar,Uttar Pradesh
Ooty,Nilgiris,Tamil Nadu
Panaji,North Goa,Goa
Panjim,North Goa,Goa
Poona,Pune,Maharashtra
Prayagraj,Allahabad,Uttar Pradesh
Puducherry,Pondicherry,Pondicherry
Secunderabad,Hyderabad,Telangana
Simla,Shimla,Himachal Pradesh
Tatanagar,East Singhbhum,Jharkhand
Thoothukkudi,Tuticorin,Tamil Nadu
Trichy,Tiruchirappalli,Tamil Nadu
Trivandrum,Thiruvananthapuram,Kerala
Vizag,Visakhapatnam,Andhra Pradesh
