pincode,locality,city,state,lat,lon,offices,accuracy
110001,New Delhi G.P.O.,Delhi,Delhi,28.6431,77.2197,21,4
110002,A.G.C.R.,Delhi,Delhi,28.6453,77.2456,8,4
110003,Aliganj (South Delhi),Delhi,Delhi,28.5947,77.2264,10,4
110004,Rashtrapati Bhawan,Delhi,Delhi,28.6455,77.205,1,1
110005,Bank Street (Central Delhi),Delhi,Delhi,28.6551,77.1833,8,4
110006,Delhi G.P.O.,Delhi,Delhi,28.7106,77.2115,9,1
110007,Delhi University,Delhi,Delhi,28.6764,77.2074,12,4
110008,Patel Nagar (Central Delhi),Delhi,Delhi,28.6466,77.1701,5,4
110009,Dr.Mukerjee Nagar,Delhi,Delhi,28.7121,77.206,7,4
110010,COD (South West Delhi),Delhi,Delhi,28.5724,77.0274,14,4
110011,Nirman Bhawan,Delhi,Delhi,28.6431,77.2197,3,1
110012,I.A.R.I.,Delhi,Delhi,28.6431,77.2197,3,1
110013,Dargah Sharif,Delhi,Delhi,28.5878,77.2541,2,4
110014,Hari Nagar Ashram,Delhi,Delhi,28.5014,77.2274,4,1
110015,ESI,Delhi,Delhi,28.6553,77.0657,7,1
110016,Green Park Market,Delhi,Delhi,28.5531,77.1916,6,4
110017,Malviya Nagar (South Delhi),Delhi,Delhi,28.5189,77.2131,8,4
110018,Ashok Nagar (West Delhi),Delhi,Delhi,28.6396,77.0884,12,4
110019,Alaknanda,Delhi,Delhi,28.5014,77.2274,4,1
110020,C R R I (South Delhi),Delhi,Delhi,28.5345,77.2779,5,4
110021,South Delhi Campus,Delhi,Delhi,28.5818,77.1793,6,4
110022,R K Puram Sect-1,Delhi,Delhi,28.5724,77.0274,8,1
110023,Netaji Nagar (South West Delhi),Delhi,Delhi,28.5724,77.0274,5,1
110024,Defence Colony (South Delhi),Delhi,Delhi,28.5724,77.2365,4,4
110025,Abul Fazal Enclave-I,Delhi,Delhi,28.5672,77.2725,5,4
110026,Shivaji Park (West Delhi),Delhi,Delhi,28.6709,77.141,4,4
110027,Subhash Nagar (West Delhi),Delhi,Delhi,28.6553,77.0657,6,1
110028,Naraina Industrial Estate H.O,Delhi,Delhi,28.5724,77.0274,2,1
110029,Ansari Nagar,Delhi,Delhi,28.565,77.1972,3,4
110030,Gadaipur,Delhi,Delhi,28.5724,77.0274,7,4
110031,Gandhi Nagar (East Delhi),Delhi,Delhi,28.6548,77.2752,7,4
110032,Babarpur (North East Delhi),Delhi,Delhi,28.6292,77.298,13,4
110033,Adrash Nagar,Delhi,Delhi,28.716,77.1429,6,1
110034,Anandvas Shakurpur,Delhi,Delhi,28.716,77.1429,7,1
