vehicle_id,reg_no,model,body,capacity_t,owner_type,vendor_id,driver_id,branch_id,rc_number,insurance_expiry,fitness_expiry,permit_expiry,puc_expiry,service_due_km,joined_fleet,status
VEH-001,MH-04 HV 5431,Eicher Pro 2114,19 ft,10,Vendor,VND-0034,EMP-0004,BR-004,MH04HV54319531,2027-05-31,2027-01-13,2028-05-08,2027-02-03,170000,2021-07-15,Available
VEH-002,MH-09 XR 1349,Eicher Pro 6028,28 ft,18,Vendor,VND-0012,EMP-0001,BR-001,MH09XR13492415,2028-01-13,2027-02-18,2029-06-03,2027-08-29,180000,2022-07-14,Available
VEH-003,RJ-25 JW 6937,Tata LPT 1618,24 ft,16,Vendor,VND-0008,EMP-0009,BR-007,RJ25JW69373545,2026-12-18,2027-11-11,2029-08-22,2026-09-14,130000,2021-04-29,Inactive
VEH-004,MH-15 MJ 3110,Ashok Leyland 3520,32 ft SXL,25,Company,,EMP-0003,BR-001,MH15MJ31103971,2026-10-05,2027-06-30,2027-06-28,2026-12-07,200000,2021-11-28,Available
VEH-005,KA-23 FL 4933,BharatBenz 4023,Trailer 40 ft,30,Vendor,VND-0010,EMP-0020,BR-016,KA23FL49331855,2026-08-29,2027-11-27,2027-06-23,2026-11-06,100000,2023-07-24,Available
VEH-006,MH-04 QA 7313,Tata LPT 1618,24 ft,16,Company,,EMP-0005,BR-001,MH04QA73138727,2027-09-24,2026-08-27,2029-06-22,2027-03-03,130000,2021-06-28,Available
VEH-007,UP-29 IS 4350,Tata LPT 1618,24 ft,16,Vendor,VND-0010,EMP-0018,BR-009,UP29IS43504102,2026-09-17,2028-02-17,2029-01-28,2027-02-15,60000,2020-10-17,Maintenance
VEH-008,MH-12 CX 8863,Eicher Pro 2114,19 ft,10,Company,,EMP-0011,BR-003,MH12CX88639400,2027-12-01,2027-03-19,2028-10-30,2027-06-30,150000,2023-08-22,In Transit
VEH-009,WB-18 SG 2146,Ashok Leyland 3520,32 ft SXL,25,Vendor,VND-0028,EMP-0019,BR-015,WB18SG21466242,2027-10-20,2028-04-17,2028-07-20,2026-11-20,200000,2022-09-20,In Transit
VEH-010,MH-36 EN 5083,BharatBenz 4023,Trailer 40 ft,30,Company,,EMP-0016,BR-003,MH36EN50833028,2027-01-25,2026-10-24,2028-12-01,2027-03-18,150000,2022-04-26,Available
VEH-011,MP-04 GX 7539,Eicher Pro 6028,28 ft,18,Company,,EMP-0008,BR-005,MP04GX75394434,2027-09-16,2026-08-27,2028-08-08,2027-04-09,190000,2025-03-28,In Transit
VEH-012,MH-23 SR 6851,BharatBenz 4023,Trailer 40 ft,30,Vendor,VND-0009,EMP-0010,BR-001,MH23SR68515247,2027-05-13,2028-01-14,2027-05-28,2027-04-01,120000,2024-11-16,In Transit
VEH-013,MH-22 NZ 6333,BharatBenz 4023,Trailer 40 ft,30,Company,,EMP-0022,BR-001,MH22NZ63331932,2027-09-15,2027-06-02,2027-03-11,2027-03-24,130000,2024-08-28,In Transit
VEH-014,CG-37 LV 7932,Ashok Leyland 3520,32 ft SXL,25,Vendor,VND-0019,EMP-0002,BR-006,CG37LV79321709,2027-11-29,2028-04-09,2029-03-08,2026-09-30,200000,2021-07-04,Available
VEH-015,MP-09 PP 4027,Tata Signa 3523.TK,32 ft MXL,25,Vendor,VND-0018,EMP-0015,BR-005,MP09PP40275442,2026-09-26,2027-04-24,2027-11-07,2027-02-23,190000,2023-09-27,In Transit
VEH-016,MH-33 UA 8374,Ashok Leyland 2820,22 ft Taurus,21,Company,,EMP-0028,BR-004,MH33UA83743089,2027-11-19,2026-10-15,2027-07-17,2027-03-18,140000,2021-12-18,Maintenance
VEH-017,CG-16 ZS 4406,Eicher Pro 6028,28 ft,18,Company,,EMP-0014,BR-006,CG16ZS44067292,2027-09-17,2028-04-06,2027-05-22,2026-10-24,180000,2023-02-04,In Transit
VEH-018,MH-08 CD 5195,Eicher Pro 2114,19 ft,10,Company,,EMP-0035,BR-004,MH08CD51952123,2026-11-20,2026-11-28,2026-11-13,2027-04-12,60000,2023-02-26,Available
VEH-019,MH-25 RM 8978,Eicher Pro 6028,28 ft,18,Company,,EMP-0024,BR-001,MH25RM89782716,2026-09-12,2026-10-06,2028-06-16,2027-05-28,190000,2024-02-06,Maintenance
VEH-020,RJ-35 NJ 6098,Ashok Leyland 3520,32 ft SXL,25,Company,,EMP-0012,BR-007,RJ35NJ60987315,2026-09-30,2028-01-13,2027-07-31,2027-04-13,130000,2022-01-22,Available
VEH-021,MH-16 MK 1223,Eicher Pro 2114,19 ft,10,Company,,EMP-0025,BR-001,MH16MK12234572,2027-06-14,2026-12-18,2028-11-28,2027-01-20,110000,2024-09-12,In Transit
VEH-022,MH-08 XY 4877,BharatBenz 4023,Trailer 40 ft,30,Company,,EMP-0044,BR-004,MH08XY48779136,2027-06-06,2027-05-31,2027-02-24,2027-06-30,140000,2020-10-16,Available
VEH-023,MP-19 QH 9513,BharatBenz 4023,Trailer 40 ft,30,Company,,EMP-0023,BR-005,MP19QH95132999,2027-04-18,2028-01-14,2027-04-17,2027-04-13,140000,2022-04-29,Allocated
VEH-024,MH-10 UC 5270,BharatBenz 4023,Trailer 40 ft,30,Vendor,VND-0024,EMP-0021,BR-003,MH10UC52706608,2027-09-26,2027-01-04,2027-08-30,2027-03-19,70000,2021-07-07,In Transit
VEH-025,MH-02 EX 2766,Ashok Leyland 2820,22 ft Taurus,21,Company,,EMP-0047,BR-004,MH02EX27665431,2027-02-11,2026-11-07,2029-09-12,2026-11-01,200000,2024-09-21,Inactive
VEH-026,MH-13 IN 4796,Tata LPT 1618,24 ft,16,Company,,EMP-0031,BR-003,MH13IN47965376,2027-05-30,2026-12-03,2027-12-24,2027-06-02,60000,2021-03-12,Available
