vendor_id,doc_type,status
VND-0001,GST Certificate,Pending
VND-0001,PAN Card,Pending
VND-0001,Vendor Agreement,Uploaded
VND-0002,GST Certificate,Uploaded
VND-0002,PAN Card,Uploaded
VND-0002,Vendor Agreement,Uploaded
VND-0003,GST Certificate,Uploaded
VND-0003,PAN Card,Uploaded
VND-0003,Vendor Agreement,Uploaded
VND-0004,GST Certificate,Uploaded
VND-0004,PAN Card,Pending
VND-0004,Vendor Agreement,Uploaded
VND-0005,GST Certificate,Uploaded
VND-0005,PAN Card,Uploaded
VND-0005,Vendor Agreement,Uploaded
VND-0006,GST Certificate,Uploaded
VND-0006,PAN Card,Uploaded
VND-0006,Vendor Agreement,Pending
VND-0007,GST Certificate,Uploaded
VND-0007,PAN Card,Uploaded
VND-0007,Vendor Agreement,Uploaded
VND-0008,GST Certificate,Uploaded
VND-0008,PAN Card,Pending
VND-0008,Vendor Agreement,Uploaded
VND-0009,GST Certificate,Pending
VND-0009,PAN Card,Uploaded
VND-0009,Vendor Agreement,Uploaded
VND-0010,GST Certificate,Uploaded
VND-0010,PAN Card,Pending
VND-0010,Vendor Agreement,Uploaded
VND-0011,GST Certificate,Uploaded
VND-0011,PAN Card,Pending
VND-0011,Vendor Agreement,Uploaded
VND-0012,GST Certificate,Uploaded
VND-0012,PAN Card,Pending
VND-0012,Vendor Agreement,Pending
VND-0013,GST Certificate,Pending
VND-0013,PAN Card,Uploaded
VND-0013,Vendor Agreement,Uploaded
VND-0014,GST Certificate,Uploaded
VND-0014,PAN Card,Pending
VND-0014,Vendor Agreement,Uploaded
VND-0015,GST Certificate,Pending
VND-0015,PAN Card,Uploaded
VND-0015,Vendor Agreement,Uploaded
VND-0016,GST Certificate,Uploaded
VND-0016,PAN Card,Uploaded
VND-0016,Vendor Agreement,Pending
VND-0017,GST Certificate,Uploaded
VND-0017,PAN Card,Uploaded
VND-0017,Vendor Agreement,Uploaded
VND-0018,GST Certificate,Uploaded
VND-0018,PAN Card,Pending
VND-0018,Vendor Agreement,Uploaded
VND-0019,GST Certificate,Uploaded
VND-0019,PAN Card,Uploaded
VND-0019,Vendor Agreement,Uploaded
VND-0020,GST Certificate,Uploaded
VND-0020,PAN Card,Uploaded
VND-0020,Vendor Agreement,Uploaded
VND-0021,GST Certificate,Uploaded
VND-0021,PAN Card,Uploaded
VND-0021,Vendor Agreement,Pending
VND-0022,GST Certificate,Uploaded
VND-0022,PAN Card,Uploaded
VND-0022,Vendor Agreement,Uploaded
VND-0023,GST Certificate,Pending
VND-0023,PAN Card,Uploaded
VND-0023,Vendor Agreement,Uploaded
VND-0024,GST Certificate,Uploaded
VND-0024,PAN Card,Uploaded
VND-0024,Vendor Agreement,Uploaded
VND-0025,GST Certificate,Uploaded
VND-0025,PAN Card,Pending
VND-0025,Vendor Agreement,Uploaded
VND-0026,GST Certificate,Uploaded
VND-0026,PAN Card,Uploaded
VND-0026,Vendor Agreement,Uploaded
VND-0027,GST Certificate,Uploaded
VND-0027,PAN Card,Uploaded
VND-0027,Vendor Agreement,Uploaded
VND-0028,GST Certificate,Uploaded
VND-0028,PAN Card,Uploaded
VND-0028,Vendor Agreement,Uploaded
VND-0029,GST Certificate,Uploaded
VND-0029,PAN Card,Uploaded
VND-0029,Vendor Agreement,Uploaded
VND-0030,GST Certificate,Uploaded
VND-0030,PAN Card,Uploaded
VND-0030,Vendor Agreement,Uploaded
VND-0031,GST Certificate,Uploaded
VND-0031,PAN Card,Uploaded
VND-0031,Vendor Agreement,Uploaded
VND-0032,GST Certificate,Uploaded
VND-0032,PAN Card,Uploaded
VND-0032,Vendor Agreement,Uploaded
VND-0033,GST Certificate,Pending
VND-0033,PAN Card,Uploaded
VND-0033,Vendor Agreement,Pending
VND-0034,GST Certificate,Uploaded
VND-0034,PAN Card,Uploaded
VND-0034,Vendor Agreement,Uploaded
VND-0035,GST Certificate,Uploaded
VND-0035,PAN Card,Uploaded
VND-0035,Vendor Agreement,Uploaded
VND-0036,GST Certificate,Pending
VND-0036,PAN Card,Pending
VND-0036,Vendor Agreement,Uploaded
