vp_id,vendor_id,trips,amount,due_date,status,approved_by
PAY-2201,VND-0007,3,81984,2026-09-14,Awaiting approval,
PAY-2202,VND-0008,10,422016,2026-09-13,Awaiting approval,
PAY-2203,VND-0009,6,254058,2026-09-02,Awaiting approval,
PAY-2204,VND-0010,6,297150,2026-09-04,Awaiting approval,
PAY-2205,VND-0012,5,177450,2026-09-18,Awaiting approval,
PAY-2206,VND-0015,4,141582,2026-09-07,Awaiting approval,
PAY-2207,VND-0018,9,301140,2026-09-13,Awaiting approval,
PAY-2208,VND-0019,8,263802,2026-09-14,Awaiting approval,
PAY-2209,VND-0020,9,358008,2026-09-20,Awaiting approval,
PAY-2210,VND-0023,11,328734,2026-09-10,Awaiting approval,
PAY-2211,VND-0024,12,499422,2026-09-05,Awaiting approval,
PAY-2212,VND-0027,5,112602,2026-09-20,Awaiting approval,
PAY-2213,VND-0028,5,132258,2026-09-11,Awaiting approval,
PAY-2214,VND-0029,4,109788,2026-09-19,Awaiting approval,
PAY-2215,VND-0030,6,181566,2026-09-21,Awaiting approval,
PAY-2216,VND-0031,6,129276,2026-09-08,Awaiting approval,
PAY-2217,VND-0034,3,83706,2026-09-10,Awaiting approval,
